DAUID	   HH1    HH2     HH3    HH4    HH5    HH6  Total number of households per dissemination area by size
35180432	20	45	35	42	42	5
35180433	5	25	25	30	30	10
35180434	15	60	60	42	41	10
35180435	35	120	90	112	112	25
35180436	5	15	15	17	17	10
35180437	30	60	55	47	47	9
35180438	30	50	60	32	31	0
35180439	25	40	45	27	26	9
35180440	35	70	40	30	29	4
35180441	35	55	30	19	19	5
35180442	55	90	60	41	41	14
35180445	45	90	90	52	52	30
35180446	10	20	15	15	15	10
35180447	45	110	75	40	39	9
35180448	35	60	50	54	54	10
35180449	170	215	135	70	69	34
35180450	275	160	50	15	15	15
35180451	20	25	30	37	36	9
35180452	10	20	15	17	17	10
35180453	45	65	45	45	44	19
35180454	45	50	40	24	25	5
35180455	25	65	35	20	20	0
35180456	25	50	35	17	17	10
35180457	20	65	30	22	22	10
35180458	40	70	50	30	30	5
35180459	20	50	35	17	17	0
35180460	40	60	35	20	19	5
35180461	60	55	35	20	19	4
35180462	35	55	40	22	21	4
35180463	140	120	80	40	39	4
35180464	85	95	30	15	14	4
35180465	50	100	55	37	37	5
35180466	35	80	40	25	24	5
35180467	25	50	40	20	20	5
35180468	20	35	25	20	20	5
35180469	40	95	70	42	42	5
35180472	30	50	50	30	30	5
35180473	30	55	40	32	32	0
35180474	25	45	25	27	26	9
35180475	45	100	60	47	47	19
35180476	10	45	35	22	22	0
35180477	10	45	30	22	22	9
35180478	25	55	45	44	44	10
35180479	10	30	55	37	37	10
35180480	15	35	35	30	29	4
35180481	25	75	55	57	57	24
35180482	10	30	25	27	26	4
35180483	5	35	35	37	36	10
35180484	50	65	70	54	54	9
35180485	10	20	25	47	47	5
35180486	0	10	25	22	22	5
35180487	0	20	15	20	19	4
35180488	10	55	60	57	57	20
35180489	0	15	20	22	22	10
35180490	15	75	60	80	80	15
35180491	10	25	35	27	27	5
35180492	10	40	45	40	40	15
35180493	15	40	50	55	55	25
35180494	25	55	30	35	34	9
35180495	0	20	30	32	32	15
35180496	15	40	40	45	45	10
35180497	55	90	55	29	29	9
35180498	25	55	35	30	30	5
35180499	35	75	65	57	57	10
35180500	5	20	25	30	29	4
35180501	15	55	45	57	57	10
35180502	15	35	40	50	49	24
35180503	25	55	65	60	59	10
35180504	20	35	35	67	67	30
35180505	5	25	40	35	34	19
35180506	35	65	55	72	71	9
35180507	20	65	50	57	56	9
35180508	15	25	35	42	42	5
35180510	10	35	35	57	57	10
35180511	25	80	65	52	51	19
35180512	20	90	75	92	91	29
35180513	10	55	35	55	54	9
35180514	20	60	40	52	52	9
35180515	10	20	25	27	26	0
35180516	5	35	30	25	24	9
35180517	20	35	40	35	34	9
35180518	10	45	45	52	52	9
35180519	0	25	20	25	24	4
35180520	15	80	75	77	77	25
35180525	15	15	40	40	39	9
35180533	45	205	115	95	94	29
35180534	30	70	25	25	24	9
35180538	30	70	45	35	34	9
35180539	15	40	35	35	35	5
35180540	20	55	35	47	46	9
35180541	30	85	70	92	92	19
35180544	40	70	40	30	29	5
35180545	35	70	35	22	21	4
35180546	30	50	30	17	17	5
35180547	30	55	35	27	27	5
35180548	180	110	35	27	27	5
35180549	15	50	50	35	35	10
35180550	10	30	25	22	22	0
35180551	25	75	50	32	32	9
35180553	45	35	15	17	16	0
35180554	50	45	45	35	34	4
35180555	25	75	50	30	29	0
35180556	15	45	30	20	19	0
35180557	30	50	45	27	27	5
35180558	120	120	25	7	7	5
35180559	20	25	15	19	19	4
35180560	20	60	25	34	34	5
35180562	20	60	50	54	54	10
35180563	10	35	30	27	27	0
35180564	15	50	40	50	50	5
35180565	10	10	15	15	15	0
35180566	25	110	55	42	41	5
35180567	25	65	20	27	26	0
35180568	20	80	25	22	22	5
35180569	10	45	25	10	10	0
35180570	10	40	40	47	47	10
35180571	15	30	35	25	24	9
35180572	30	125	130	120	119	34
35180573	40	85	40	22	21	9
35180574	35	50	35	17	16	4
35180575	50	60	40	22	21	5
35180576	45	55	25	15	15	5
35180581	145	60	35	17	17	5
35180582	35	80	35	32	32	0
35180583	30	45	40	25	25	5
35180584	15	30	30	30	29	10
35180585	50	40	35	17	16	9
35180586	20	35	20	15	15	0
35180587	170	145	55	12	11	4
35180588	60	70	25	25	24	4
35180589	40	65	20	17	17	5
35180590	100	105	45	25	25	0
35180591	35	90	95	90	89	19
35180592	115	350	290	227	227	60
35180593	20	50	35	37	37	10
35180594	110	85	30	25	24	4
35180595	95	85	40	30	30	10
35180596	5	20	25	30	30	5
35180597	30	50	40	35	34	4
35180598	10	25	10	20	19	4
35180599	5	45	25	30	29	9
35180600	10	25	25	17	16	0
35180601	10	35	30	25	25	0
35180602	60	75	50	20	19	5
35180603	5	30	25	25	25	5
35180604	15	70	45	42	42	5
35180605	15	50	35	40	39	5
35180606	130	140	95	54	54	5
35180607	30	75	65	40	39	9
35180608	30	50	35	30	29	9
35180609	20	35	15	12	11	4
35180611	30	50	20	12	12	0
35180613	35	65	35	25	24	4
35180614	15	30	40	15	14	9
35180615	15	40	25	25	24	4
35180616	25	45	40	12	11	4
35180617	25	70	25	20	20	5
35180618	75	100	110	49	48	14
35180619	15	20	15	10	9	0
35180620	50	105	70	65	64	19
35180621	25	40	20	12	11	0
35180622	55	60	35	25	25	5
35180623	30	50	30	17	17	5
35180624	25	75	35	22	21	0
35180625	30	50	35	20	19	5
35180626	20	55	60	42	41	19
35180627	100	105	65	32	31	4
35180628	45	55	30	15	14	5
35180629	45	55	35	15	15	5
35180630	55	65	25	20	19	0
35180631	45	75	35	17	16	4
35180632	105	70	45	12	12	0
35180633	35	65	40	25	24	0
35180634	40	55	20	10	10	0
35180635	140	60	40	17	16	9
35180636	105	80	65	27	26	9
35180637	60	110	45	22	22	5
35180638	75	100	40	15	14	9
35180639	60	65	30	14	14	0
35180640	75	85	25	20	19	0
35180641	60	70	40	20	19	4
35180642	40	70	45	22	22	5
35180643	35	60	35	25	25	5
35180644	35	90	30	17	17	5
35180645	25	55	45	30	30	10
35180646	30	70	40	22	21	4
35180647	25	75	45	35	34	4
35180648	25	75	50	32	32	5
35180649	20	70	25	22	22	0
35180650	45	90	35	27	27	5
35180651	40	70	30	20	20	5
35180652	30	70	45	35	35	5
35180654	95	60	40	32	31	9
35180655	25	65	35	37	36	5
35180656	25	50	54	42	41	0
35180657	30	60	55	42	42	5
35180658	45	65	50	37	37	5
35180659	25	70	65	50	49	5
35180660	30	75	60	67	67	5
35180661	35	35	30	40	39	5
35180662	15	70	45	60	59	14
35180663	10	30	30	51	51	15
35180665	40	70	75	87	86	14
35180666	20	35	35	30	29	4
35180667	25	50	45	30	30	5
35180668	35	65	45	25	25	0
35180669	20	40	35	25	24	9
35180670	35	65	35	27	26	0
35180671	15	55	30	14	14	5
35180672	30	60	45	32	31	4
35180676	15	35	35	37	37	5
35180677	130	135	30	17	17	0
35180679	85	130	85	52	51	14
35180680	15	30	30	24	24	5
35180681	25	35	45	32	31	4
35180682	20	25	20	27	26	5
35180683	35	110	75	67	66	14
35180684	15	60	45	42	42	0
35180685	40	85	65	45	44	5
35180686	15	30	45	30	29	9
35180687	25	55	35	35	35	0
35180688	30	40	30	32	31	0
35180689	90	75	45	37	36	4
35180690	15	30	25	17	17	10
35180691	20	70	30	25	24	4
35180692	20	45	20	20	19	0
35180693	35	55	15	15	14	4
35180697	40	50	50	31	32	5
35180698	70	220	165	122	122	25
35180699	35	80	35	37	37	5
35180701	60	200	130	129	128	24
35180702	25	45	40	52	51	0
35180703	25	65	55	65	64	10
35180704	30	50	40	40	39	9
35180707	65	75	30	12	12	0
35180710	90	60	35	12	11	0
35180711	85	40	10	5	5	0
35180712	10	35	15	12	12	5
35180713	30	30	10	5	5	0
35180714	25	40	20	22	22	5
35180715	35	65	35	27	26	4
35180716	65	75	70	40	40	10
35180717	40	70	25	27	27	5
35180718	55	85	45	27	26	5
35180720	25	50	35	32	32	5
35180721	20	30	25	19	19	0
35180722	10	30	20	22	21	4
35180723	10	40	15	27	26	9
35180724	30	65	30	37	37	10
35180725	10	35	20	12	11	0
35180726	45	75	45	30	29	4
35180727	20	75	54	45	44	5
35180732	40	60	15	17	16	4
35180733	95	100	35	12	12	0
35180734	75	85	35	17	17	0
35180735	15	55	20	22	21	5
35180736	30	45	25	27	26	0
35180737	25	45	30	32	32	9
35180738	55	65	25	12	11	0
35180739	100	70	25	17	17	10
35180762	20	45	20	25	25	5
35180767	10	30	15	10	10	5
35180768	30	75	60	32	32	5
35180769	30	45	35	27	27	9
35180770	30	75	35	22	21	4
35180771	30	40	30	17	17	5
35180772	50	65	30	20	19	9
35180773	105	100	40	10	10	5
35180774	90	80	40	10	9	4
35180775	65	55	35	20	20	0
35180776	60	75	35	15	14	4
35180777	70	85	35	17	17	0
35180778	130	120	50	21	21	0
35180779	40	75	20	17	17	0
35180780	30	70	15	14	14	9
35180781	30	60	25	10	10	5
35180782	100	75	30	17	17	0
35180783	80	70	40	12	11	4
35180784	95	70	45	10	10	0
35180785	50	120	60	55	54	9
35180786	85	245	125	107	106	15
35180791	40	120	70	102	101	20
35180792	40	100	70	45	44	9
35180793	115	175	130	79	79	10
35180794	50	175	140	167	166	25
35180795	75	240	175	165	164	39
35180796	265	210	55	15	15	0
35180797	60	140	75	52	51	14
35180798	60	135	55	45	45	5
35180799	185	135	105	44	44	10
35180800	150	215	115	50	49	10
35180801	215	175	91	52	51	19
35180802	45	155	95	75	74	10
35180803	200	340	210	152	151	39
35180804	445	385	155	54	55	10
35180805	150	130	60	27	27	5
35180806	85	185	60	62	62	14
35180807	95	105	60	57	57	5
35180808	30	55	55	67	66	24
35180810	60	105	35	17	17	5
35180811	565	430	70	10	10	5
35180812	325	415	165	77	76	19
35180813	125	180	125	102	101	24
35180816	50	70	45	35	34	14
35180817	40	60	30	17	16	4
35180818	30	55	35	22	21	4
35180819	55	50	40	20	20	10
35180820	30	55	25	22	22	5
35180821	25	80	65	47	46	9
35180822	10	30	35	27	26	5
35180823	10	35	45	79	79	20
35180824	60	145	155	177	177	45
35180825	25	75	65	105	104	19
35180826	85	275	265	182	181	49
35180827	15	45	45	47	47	24
35180828	5	20	35	52	52	20
35180829	10	35	55	90	89	39
