DAUID  PROBABILITY  CUMULATIVE PROBABILITY (2006)
35180403    7.20135e-05         0.0369708
35180404    7.57848e-05         0.0370465
35180405    0.000119244         0.0371658
35180406    8.72782e-05         0.0372531
35180407    9.75145e-05         0.0373506
35180408    0.000174018         0.0375246
35180409    0.000176891         0.0377015
35180410    0.000154622         0.0378561
35180411    4.92062e-05         0.0379053
35180412    0.000113318         0.0380186
35180413    9.78737e-05         0.0381165
35180414    8.11723e-05         0.0381977
35180415    0.000149055         0.0383467
35180416    6.53689e-05         0.0384121
35180417    5.08225e-05         0.0384629
35180418    0.000130558         0.0385935
35180419    0.000130199         0.0387237
35180420    0.00021604         0.0389397
35180421    0.000100927         0.0390407
35180422    8.9972e-05         0.0391306
35180423    0.000119603         0.0392502
35180424    0.000111163         0.0393614
35180425    9.55391e-05         0.0394569
35180426    7.99152e-05         0.0395368
35180427    0.000167193         0.039704
35180428    0.000122477         0.0398265
35180429    8.18907e-05         0.0399084
35180430    0.000104159         0.0400126
35180431    0.000169887         0.0401825
35180432    0.000112061         0.0402945
35180433    7.5246e-05         0.0403698
35180434    0.000135407         0.0405052
35180435    0.000304217         0.0408094
35180436    4.90266e-05         0.0408584
35180437    0.000143488         0.0410019
35180438    0.000112779         0.0411147
35180439    9.57187e-05         0.0412104
35180440    0.000105955         0.0413163
35180441    7.54256e-05         0.0413918
35180442    0.000159471         0.0415512
35180445    0.000204547         0.0417558
35180446    5.13612e-05         0.0418072
35180447    0.000221608         0.0420288
35180448    0.000157316         0.0421861
35180449    0.000327203         0.0425133
35180450    0.000169887         0.0426832
35180451    0.000104339         0.0427875
35180452    5.621e-05         0.0428437
35180453    0.000155161         0.0429989
35180454    9.30249e-05         0.0430919
35180455    9.91308e-05         0.043191
35180456    7.8299e-05         0.0432693
35180457    8.53028e-05         0.0433546
35180458    0.000109008         0.0434636
35180459    7.29114e-05         0.0435366
35180460    8.85353e-05         0.0436251
35180461    8.6919e-05         0.043712
35180462    9.41024e-05         0.0438061
35180463    0.000179226         0.0439853
35180464    9.32045e-05         0.0440785
35180465    0.000138999         0.0442175
35180466    0.000106853         0.0443244
35180467    7.70419e-05         0.0444014
35180468    6.46505e-05         0.0444661
35180469    0.00015121         0.0446173
35180472    0.000105057         0.0447224
35180473    9.96695e-05         0.044822
